trial,phase,label,THR_OPEN,THR_CLOSE,IV_SCALPING_THR,SCALP_MAX_PER_TICK,THEO_NORM_WINDOW,IV_SCALPING_WINDOW,LOW_VEGA_THR_ADJ,LOW_VEGA_CUTOFF,SMILE_A_ALPHA,SMILE_A_INIT,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,1,V2_baseline,0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.0052,0.580261,14675,2946,12312,17621,12312,29934,20.95,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
1,1,alpha=0.0,0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.0,0.580261,14111,402,6253,14513,6253,20766,22.67,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,0,0,-12,0,0,-9,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0
2,1,alpha=0.0005,0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.0005,0.580261,13993,148,6687,14141,6687,20828,20.11,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,0,0,-12,0,0,-9,0,0,0,0,0,228,-118,-253,188,0,0,13,0,0,0,0,0,0
3,1,alpha=0.001,0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.001,0.580261,13239,1044,8562,14283,8562,22844,22.06,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-8,-16,-12,-349,599,-184,-250,48,1370,-49,-55,771,-96,60,238,-120,6,100,0,0,0,0,0,0
4,1,alpha=0.002,0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.002,0.580261,14093,1148,10636,15241,10636,25878,24.41,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-247,86,16,-30,444,1626,186,63,1593,153,36,747,-25,112,288,-55,6,87,0,0,0,0,0,0
5,1,alpha=0.01,0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.01,0.580261,15198,1450,11267,16648,11267,27916,25.96,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,749,249,697,107,258,1617,123,253,1326,22,209,913,-1,78,341,87,2,94,0,0,0,0,0,0
6,1,alpha=0.02,0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.02,0.580261,15999,982,11274,16981,11274,28254,19.83,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,426,-83,954,572,341,1355,479,195,1319,293,193,916,94,-24,383,24,-42,68,0,0,0,0,0,0
7,1,alpha=0.05,0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.05,0.580261,15563,-390,10710,15173,10710,25882,19.78,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,188,-315,949,514,-318,932,342,-3,1349,265,-110,861,122,-9,242,21,-37,98,0,0,0,0,0,0
8,2,"alpha=0.0052,init=0.4",0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.0052,0.4,14111,-142,8791,13969,8791,22760,21.65,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,0,0,-12,0,0,-17,0,-304,1149,0,-194,960,0,-45,383,0,0,49,0,0,0,0,0,0
9,2,"alpha=0.0052,init=0.5",0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.0052,0.5,14459,1680,10760,16139,10760,26898,22.22,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-55,-26,320,216,510,1716,188,490,1144,24,205,812,-25,50,384,0,49,105,0,0,0,0,0,0
10,2,"alpha=0.0052,init=0.580261",0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.0052,0.580261,14675,2946,12312,17621,12312,29934,21.77,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
11,2,"alpha=0.0052,init=0.7",0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.0052,0.7,14651,1978,11296,16629,11296,27926,22.35,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,184,415,1497,116,594,1363,146,264,1097,68,206,647,31,48,315,-5,50,98,0,0,0,0,0,0
12,2,"alpha=0.0052,init=0.88",0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.0052,0.88,14883,1874,11706,16757,11706,28464,23.29,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,52,637,1900,370,479,1223,186,120,1181,124,118,687,90,96,336,-50,23,100,0,0,0,0,0,0
