trial,THR_OPEN,THR_CLOSE,IV_SCALPING_THR,SCALP_MAX_PER_TICK,THEO_NORM_WINDOW,IV_SCALPING_WINDOW,LOW_VEGA_THR_ADJ,LOW_VEGA_CUTOFF,SMILE_A_ALPHA,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,0.536,-0.4,1.0865,35,100,200,0.653,4.0984,0.0052,14664,2894,12735,17558,12735,30293,31.75,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
1,0.9264,0.3067,1.4565,94,94,246,0.7051,2.9308,0.0146,16152,1552,11557,17704,11557,29261,66.96,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,528,-64,1124,640,552,1200,403,360,1289,308,260,861,129,94,329,45,0,52,0,0,0,0,0,0
2,1.401,-0.2511,1.2967,127,114,270,0.5016,1.9285,0.0425,15590,978,12065,16568,12065,28634,61.32,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,491,-107,766,571,447,1822,114,124,1322,195,150,904,120,50,408,0,-35,141,0,0,0,0,0,0
3,1.4342,-0.0984,1.4983,35,85,258,0.7916,1.3845,0.0443,15384,-270,10436,15114,10436,25549,24.65,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,287,-19,704,326,-208,988,380,-194,1059,218,-83,716,74,-74,199,-1,-42,68,0,0,0,0,0,0
4,0.9394,0.3018,1.1544,104,188,81,0.8825,3.3745,0.0162,14540,284,12551,14824,12551,27375,25.5,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,525,-331,1035,-130,175,1906,0,-23,1494,0,58,867,0,45,400,45,11,147,0,0,0,0,0,0
5,0.3982,0.4398,0.9215,56,224,257,0.4087,2.7773,0.0175,14294,1962,12598,16256,12598,28853,41.35,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,40,639,1838,26,432,1557,123,239,1311,47,211,841,7,97,282,-49,-6,67,0,0,0,0,0,0
6,0.8193,0.0717,1.3866,110,62,295,0.4772,3.1103,0.0013,14100,350,7185,14450,7185,21634,35.25,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,0,0,-12,0,0,-9,0,0,0,0,0,363,0,0,141,0,0,0,0,0,0,0,0,0
7,0.7865,-0.3829,0.6352,83,184,295,0.3597,1.7024,0.0395,14928,942,12773,15870,12773,28644,26.07,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,254,159,1783,213,111,1541,182,140,1374,125,172,832,9,0,394,46,11,147,0,0,0,0,0,0
8,0.5313,0.1039,1.0111,53,114,218,0.3076,2.0652,0.0094,14392,2368,12527,16760,12527,29286,26.34,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,245,538,1761,137,269,1688,-23,761,1144,-47,388,870,-20,83,268,0,-21,94,0,0,0,0,0,0
9,0.4129,0.0749,1.2606,105,52,62,0.7533,2.066,0.0239,16084,-1500,8544,14584,8544,23127,25.07,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,503,-537,-12,533,-642,580,528,-289,642,299,-188,444,121,-94,138,0,-100,50,0,0,0,0,0,0
10,0.627,0.1331,1.2019,99,116,69,0.7482,3.7189,0.0248,15314,-668,10187,14646,10187,24832,24.89,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,612,-496,828,72,-324,899,305,-101,892,196,0,586,34,-50,230,-5,-47,50,0,0,0,0,0,0
11,1.0453,0.0252,0.5522,144,237,293,0.9598,3.1557,0.0202,15074,-108,13105,14966,13105,28072,25.77,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,469,117,1716,170,-71,1930,157,-257,1371,66,-104,839,113,-97,400,0,-45,147,0,0,0,0,0,0
12,0.5348,-0.2486,0.5659,48,282,104,0.0502,4.8797,0.016,14380,500,11856,14880,11856,26736,24.82,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,-16,-131,1626,51,69,1297,181,61,1014,135,100,745,-16,50,322,-55,2,150,0,0,0,0,0,0
13,1.3677,-0.1845,0.7478,61,287,157,0.0928,3.9693,0.0421,13616,1036,12781,14652,12781,27433,24.92,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,-198,294,2047,-152,131,1521,10,82,1298,-22,127,795,-72,50,294,-49,2,124,0,0,0,0,0,0
14,1.0889,-0.0963,0.4825,41,189,212,0.9793,1.5122,0.0479,14014,882,12696,14896,12696,27591,24.47,1,9279,-1322,904,1520,-766,3182,3334,2437,2589,-34,0,27,55,165,1905,66,78,1596,-24,50,1338,-85,138,733,-49,95,284,-49,6,138,0,0,0,0,0,0
